mini,base_mm2,cost
Warboss,40mm,75.0
Warboss In Mega Armour,50mm,80.0
Warboss On Warbike,100 x 40mm,75.0
Weirdboy,40mm,65.0
Big Mek In Mega Armour,40mm,90.0
Big Mek On Warbike,90 x 52mm,105.0
GHAZGHKULL THRAKA,80mm,235.0
MAKARI,25mm,235.0
Kaptin Badrukk,40mm,80.0
Boss Zagstruk,40mm,90.0
Boss Snikrot,40mm,75.0
Mek,32mm,45.0
Painboy,32mm,80.0
Painboy On Warbike,90 x 52mm,85.0
Mad Dok Grotsnik,32mm,65.0
BOY,32mm,80.0
BOY,32mm,170.0
BOSS NOB,32mm,80.0
BOSS NOB,32mm,170.0
GRETCHIN,25mm,40.0
GRETCHIN,25mm,80.0
RUNTHERD,32mm,40.0
RUNTHERD,32mm,80.0
Burna Boyz,32mm,60.0
Burna Boyz,32mm,120.0
TANKBUSTAS,32mm,140.0
Nobz,32mm,105.0
Nobz,32mm,210.0
Nob With Waaagh! Banner,32mm,70.0
Nobz On Warbikes,75 x 42mm,125.0
Meganobz,40mm,65.0
Meganobz,40mm,95.0
Meganobz,40mm,160.0
Meganobz,40mm,190.0
KOMMANDOS,32mm,120.0
BOSS NOB,32mm,120.0
Trukk,Use model,70.0
STORMBOY,32mm,65.0
STORMBOY,32mm,130.0
BOSS NOB,32mm,65.0
BOSS NOB,32mm,130.0
Deffkoptas,75 x 42mm,80.0
Deffkoptas,75 x 42mm,160.0
Dakkajet,120 x 92mm flying base,135.0
Burna-bommer,120 x 92mm flying base,125.0
Blitza-bommer,120 x 92mm flying base,115.0
Wazbom Blastajet,120 x 92mm flying base,175.0
WARBIKER,75 x 42mm,65.0
WARBIKER,75 x 42mm,130.0
BOSS NOB ON WARBIKE,75 x 42mm,65.0
BOSS NOB ON WARBIKE,75 x 42mm,130.0
Wartrakks,Use model,50.0
Wartrakks,Use model,100.0
Skorchas,Use model,45.0
Skorchas,Use model,90.0
Warbuggies,Use model,40.0
Warbuggies,Use model,80.0
Big Gunz,Use model,20.0
Big Gunz,Use model,40.0
Mek Gunz,Use model,50.0
Mek Gunz,Use model,100.0
Mek Gunz,Use model,150.0
Battlewagon,Use model,160.0
Deff Dread,60mm,120.0
Killa Kans,60mm,125.0
Killa Kans,60mm,250.0
Morkanaut,170 x 109mm,280.0
Gorkanaut,170 x 109mm,265.0
Lootas,32mm,50.0
Lootas,32mm,100.0
Flash Gitz,40mm,80.0
Flash Gitz,40mm,160.0
Stompa,Use model,800.0
Grot Tanks,Use model,155.0
Grot Tanks,Use model,310.0
Grot Mega-tank,Use model,110.0
Squiggoth,Use model,150.0
Meka-dread,Use model,210.0
Lifta Wagon,Use model,135.0
Big Trakk,Use model,90.0
Kannonwagon,Use model,115.0
Kill Tank,Use model,295.0
Chinork Warkopta,120 x 92mm flying base,105.0
Gargantuan Squiggoth,Use model,440.0
Apothecary Biologis,40mm,70.0
Assault Squad,32mm,95.0
Assault Squad,32mm,190.0
Apothecary On Bike,75 x 25mm,65.0
Assault Squad With Jump Packs,32mm,115.0
Assault Squad With Jump Packs,32mm,230.0
Land Raider,Use model,220.0
Land Raider Crusader,Use model,220.0
Land Raider Excelsior,Use model,310.0
Suppressor Squad,40mm,75.0
Tactical Squad,32mm,140.0
Bladeguard Veteran Squad,40mm,80.0
Bladeguard Veteran Squad,40mm,170.0
Caestus Assault Ram,120 x 92mm flying base,215.0
Captain,40mm,80.0
Lieutenant With Combi-weapon,40mm,70.0
Librarian In Terminator Armour,40mm,75.0
Captain With Jump Pack,40mm,75.0
Stormhawk Interceptor,120 x 92mm flying base,155.0
Rhino Primaris,Use model,95.0
Firestrike Servo-turrets,80mm,75.0
Firestrike Servo-turrets,80mm,150.0
Drop Pod,Use model,70.0
Ballistus Dreadnought,90mm,150.0
Sicaran Venator,Use model,220.0
Typhon,Use model,385.0
Chaplain On Bike,90 x 52mm,75.0
Ultramarines Honour Guard,32mm,155.0
Carab Culln The Risen,80mm,250.0
Hammerfall Bunker,Use model,175.0
Tarantula Sentry Battery,Use model,30.0
Tarantula Sentry Battery,Use model,60.0
Tarantula Sentry Battery,Use model,90.0
Tarantula Air Defence Battery,Use model,70.0
Eradicator Squad,40mm,100.0
Eradicator Squad,40mm,200.0
Relic Terminator Squad,40mm,200.0
Relic Terminator Squad,40mm,400.0
Javelin Attack Speeder,60mm flying base,110.0
Rapier Carrier,Use model,100.0
Mortis Dreadnought,60mm,130.0
Chaplain With Jump Pack,32mm,75.0
Storm Eagle Gunship,120 x 92mm flying base,255.0
Storm Speeder Hammerstrike,90mm,125.0
Chaplain In Terminator Armour,40mm,75.0
SPACE MARINE BIKE,75 x 25mm,80.0
SPACE MARINE BIKE,75 x 25mm,160.0
SPACE MARINE BIKE,75 x 25mm,55.0
ATTACK BIKE,Use model,80.0
ATTACK BIKE,Use model,160.0
ATTACK BIKE,Use model,55.0
Dreadnought,60mm,135.0
Terminator Assault Squad,40mm,180.0
Terminator Assault Squad,40mm,360.0
Librarian In Phobos Armour,40mm,70.0
Venerable Dreadnought,60mm,165.0
Uriel Ventris,40mm,95.0
Dreadnought Drop Pod,Use model,75.0
Sicaran Punisher,Use model,220.0
Storm Speeder Hailstrike,90mm,115.0
Inceptor Squad,40mm,120.0
Inceptor Squad,40mm,240.0
Infernus Squad,32mm,90.0
Infernus Squad,32mm,180.0
Iron Father Feirros,40mm,95.0
Infiltrator Squad,32mm,100.0
Infiltrator Squad,32mm,200.0
Razorback,Use model,95.0
Leviathan Dreadnought,80mm,215.0
Land Speeder Storm,60mm flying base,70.0
Astartes Servitors,25mm,55.0
Captain In Terminator Armour,50mm,95.0
Brutalis Dreadnought,90mm,160.0
Scout Bike Squad,75 x 25mm,75.0
Scout Bike Squad,75 x 25mm,150.0
Roboute Guilliman,60mm,340.0
Thunderhawk Gunship,120 x 92mm flying base,840.0
Techmarine,40mm,55.0
Hunter,Use model,100.0
Vanguard Veteran Squad With Jump Packs,32mm,95.0
Vanguard Veteran Squad With Jump Packs,32mm,190.0
Imperial Space Marine,32mm,40.0
Commander Dante,50mm,120.0
Captain Tycho,25mm,75.0
Tycho The Lost,25mm,90.0
Librarian Dreadnought,60mm,170.0
Chief Librarian Mephiston,40mm,120.0
The Sanguinor,40mm,140.0
Astorath,40mm,95.0
Sanguinary Priest,40mm,75.0
Sanguinary Priest On Bike,75 x 25mm,135.0
Brother Corbulo,25mm,75.0
Lemartes,40mm,100.0
Sanguinary Guard,40mm,125.0
Sanguinary Guard,40mm,260.0
Death Company Dreadnought,90mm,160.0
Furioso Dreadnought,60mm,150.0
Baal Predator,Use model,125.0
Gabriel Seth,25mm,90.0
Azrael,50mm,115.0
Belial,50mm,85.0
Asmodai,50mm,70.0
Ezekiel,25mm,75.0
Deathwing Terminator Squad,40mm,180.0
Deathwing Terminator Squad,40mm,360.0
Deathwing Knights,40mm,250.0
Ravenwing Darkshroud,60mm flying base,100.0
Nephilim Jetfighter,120 x 92mm flying base,195.0
Ravenwing Dark Talon,120 x 92mm flying base,210.0
Ravenwing Black Knights,75 x 42mm,90.0
Ravenwing Black Knights,75 x 42mm,180.0
Land Speeder Vengeance,60mm flying base,120.0
Fortress Of Redemption,Use model,480.0
Logan Grimnar,80mm,110.0
Logan Grimnar On Stormrider,120 x 92mm,
