price,all,faction
56.12,Adeptus Custodes Custodian Guard,Adeptus_Custodes
46.0,Astra Telepathica Sisters Of Silence,Adeptus_Custodes
35.88,Captain General Trajann Valoris,Adeptus_Custodes
56.12,Adeptus Custodes Custodian Wardens,Adeptus_Custodes
56.12,Adeptus Custodes Vertus Praetors,Adeptus_Custodes
46.92,Adeptus Custodes Allarus Custodians,Adeptus_Custodes
10.12,Etb: Chaos Space Marines Chaos Cultists,Chaos_Space_Marines
35.88,Deathwatch Veterans,Deathwatch
74.52,Deathwatch: Corvus Blackstar,Deathwatch
32.2,Deathwatch Watch Master,Deathwatch
13.8,Deathwatch Upgrades,Deathwatch
129.72,Combat Patrol: Deathwatch,Deathwatch
46.92,Daemonifuge Ephrael Stern & Kyganil,Chaos_Daemons
35.88,Blood Angels Death Company,Blood_Angels
45.08,Blood Angels: Sanguinary Guard,Blood_Angels
98.44,Space Marines Stormraven Gunship,Space_Marines
55.2,Blood Angels: Furioso Dreadnought,Blood_Angels
31.28,Blood Angels Sanguinary Priest,Blood_Angels
33.12,Blood Angels Chaplain With Jump Pack,Blood_Angels
42.32,Blood Angels: Death Company Intercessors,Blood_Angels
129.72,Combat Patrol: Blood Angels,Blood_Angels
13.8,Blood Angels Primaris Upgrades,Blood_Angels
37.72,Blood Angels: Mephiston,Blood_Angels
14.72,Blood Angels: Upgrades,Blood_Angels
37.72,Chaos Space Marines Bikers,Chaos_Space_Marines
45.08,Khorne Berzerkers,Chaos_Daemons
41.4,Chaos Space Marines Rhino,Chaos_Space_Marines
28.52,Chaos Space Marines Chaos Lord,Chaos_Space_Marines
35.88,Chaos Space Marine Raptors,Chaos_Daemons
69.92,Chaos Space Marines Forgefiend,Chaos_Space_Marines
69.0,Chaos Space Marines Heldrake,Chaos_Space_Marines
56.12,Chaos Space Marine Terminators,Chaos_Daemons
34.04,Chaos S/M: Haarken Worldclaimer,Chaos_Daemons
28.52,Death Guard: Biologus Putrifier,Death_Guard
33.12,Kharn The Betrayer,Chaos_Daemons
35.88,Chaos Space Marines Possessed,Chaos_Space_Marines
28.52,Death Guard: Nauseous Rotbone,Death_Guard
139.84,Thousand Sons Magnus The Red,Thousand_Sons
55.2,Thousand Sons Rubric Marines,Thousand_Sons
56.12,Thousand Sons Scarab Occult Terminators,Thousand_Sons
