mini,base_mm2,cost,faction,price,price_old
Warboss,40mm,75.0,Orks,55.2,55.2
Warboss In Mega Armour,50mm,80.0,Orks,40.02,40.02
Warboss On Warbike,100 x 40mm,75.0,Orks,55.2,55.2
Weirdboy,40mm,65.0,Orks,30.82,30.82
Big Mek In Mega Armour,40mm,90.0,Orks,67.62,67.62
Big Mek On Warbike,90 x 52mm,105.0,Orks,55.2,55.2
GHAZGHKULL THRAKA,80mm,235.0,Orks,75.44,75.44
MAKARI,25mm,235.0,Astra_Militarum,55.2,55.2
Kaptin Badrukk,40mm,80.0,Orks,55.2,55.2
Boss Zagstruk,40mm,90.0,Orks,55.2,55.2
Boss Snikrot,40mm,75.0,Orks,40.02,40.02
Mek,32mm,45.0,Orks,55.2,55.2
Painboy,32mm,80.0,Orks,27.6,27.6
Painboy On Warbike,90 x 52mm,85.0,Orks,55.2,55.2
Mad Dok Grotsnik,32mm,65.0,Orks,55.2,55.2
BOY,32mm,80.0,Orks,55.2,55.2
BOY,32mm,170.0,Orks,55.2,55.2
BOSS NOB,32mm,80.0,Orks,55.2,55.2
BOSS NOB,32mm,170.0,Orks,55.2,55.2
GRETCHIN,25mm,40.0,Orks,17.48,17.48
GRETCHIN,25mm,80.0,Orks,17.48,17.48
RUNTHERD,32mm,40.0,Space_Marines,54.28,54.28
RUNTHERD,32mm,80.0,Space_Marines,54.28,54.28
Burna Boyz,32mm,60.0,Orks,38.64,38.64
Burna Boyz,32mm,120.0,Orks,38.64,38.64
TANKBUSTAS,32mm,140.0,Orks,55.2,55.2
Nobz,32mm,105.0,Orks,32.2,32.2
Nobz,32mm,210.0,Orks,32.2,32.2
Nob With Waaagh! Banner,32mm,70.0,Orks,55.2,55.2
Nobz On Warbikes,75 x 42mm,125.0,Orks,55.2,55.2
Meganobz,40mm,65.0,Orks,58.88,58.88
Meganobz,40mm,95.0,Orks,58.88,58.88
Meganobz,40mm,160.0,Orks,58.88,58.88
Meganobz,40mm,190.0,Orks,58.88,58.88
KOMMANDOS,32mm,120.0,Space_Marines,63.48,63.48
BOSS NOB,32mm,120.0,Orks,55.2,55.2
Trukk,Use model,70.0,Orks,41.4,41.4
STORMBOY,32mm,65.0,Space_Wolves,32.2,32.2
STORMBOY,32mm,130.0,Space_Wolves,32.2,32.2
BOSS NOB,32mm,65.0,Orks,55.2,55.2
BOSS NOB,32mm,130.0,Orks,55.2,55.2
Deffkoptas,75 x 42mm,80.0,Orks,63.48,63.48
Deffkoptas,75 x 42mm,160.0,Orks,63.48,63.48
Dakkajet,120 x 92mm flying base,135.0,Orks,82.8,82.8
Burna-bommer,120 x 92mm flying base,125.0,Orks,82.8,82.8
Blitza-bommer,120 x 92mm flying base,115.0,Orks,82.8,82.8
Wazbom Blastajet,120 x 92mm flying base,175.0,Orks,69.92,69.92
WARBIKER,75 x 42mm,65.0,Craftworlds,42.32,42.32
WARBIKER,75 x 42mm,130.0,Craftworlds,42.32,42.32
BOSS NOB ON WARBIKE,75 x 42mm,65.0,Orks,55.2,55.2
BOSS NOB ON WARBIKE,75 x 42mm,130.0,Orks,55.2,55.2
Wartrakks,Use model,50.0,Drukhari,55.2,55.2
Wartrakks,Use model,100.0,Drukhari,55.2,55.2
Skorchas,Use model,45.0,Orks,55.2,55.2
Skorchas,Use model,90.0,Orks,55.2,55.2
Warbuggies,Use model,40.0,Orks,55.2,55.2
Warbuggies,Use model,80.0,Orks,55.2,55.2
Big Gunz,Use model,20.0,Orks,55.2,55.2
Big Gunz,Use model,40.0,Orks,55.2,55.2
Mek Gunz,Use model,50.0,Orks,46.92,46.92
Mek Gunz,Use model,100.0,Orks,46.92,46.92
Mek Gunz,Use model,150.0,Orks,46.92,46.92
Battlewagon,Use model,160.0,Orks,69.92,69.92
Deff Dread,60mm,120.0,Orks,59.8,59.8
Killa Kans,60mm,125.0,Orks,51.52,51.52
Killa Kans,60mm,250.0,Orks,51.52,51.52
Morkanaut,170 x 109mm,280.0,Orks,138.0,138.0
Gorkanaut,170 x 109mm,265.0,Orks,115.92,115.92
Lootas,32mm,50.0,Orks,32.2,32.2
Lootas,32mm,100.0,Orks,32.2,32.2
Flash Gitz,40mm,80.0,Orks,51.52,51.52
Flash Gitz,40mm,160.0,Orks,51.52,51.52
Stompa,Use model,800.0,Orks,138.0,138.0
Grot Tanks,Use model,155.0,Necrons,48.76,48.76
Grot Tanks,Use model,310.0,Necrons,48.76,48.76
Grot Mega-tank,Use model,110.0,Orks,55.2,55.2
Squiggoth,Use model,150.0,Orks,55.2,55.2
Meka-dread,Use model,210.0,Orks,55.2,55.2
Lifta Wagon,Use model,135.0,Orks,55.2,55.2
Big Trakk,Use model,90.0,Orks,55.2,55.2
Kannonwagon,Use model,115.0,Orks,55.2,55.2
Kill Tank,Use model,295.0,Orks,55.2,55.2
Chinork Warkopta,120 x 92mm flying base,105.0,Orks,55.2,55.2
Gargantuan Squiggoth,Use model,440.0,Orks,487.6,487.6
Apothecary Biologis,40mm,70.0,Space_Marines,54.28,54.28
Assault Squad,32mm,95.0,Space_Marines,46.0,46.0
Assault Squad,32mm,190.0,Space_Marines,46.0,46.0
Apothecary On Bike,75 x 25mm,65.0,Space_Marines,54.28,54.28
Assault Squad With Jump Packs,32mm,115.0,Space_Marines,54.28,54.28
Assault Squad With Jump Packs,32mm,230.0,Space_Marines,54.28,54.28
Land Raider,Use model,220.0,Space_Marines,88.32,88.32
Land Raider,Use model,220.0,Grey_Knights,88.32,88.32
Land Raider,Use model,220.0,Adeptus_Custodes,88.32,88.32
Land Raider Crusader,Use model,220.0,Space_Marines,105.8,105.8
Land Raider Crusader,Use model,220.0,Grey_Knights,105.8,105.8
Land Raider Excelsior,Use model,310.0,Drukhari,55.2,55.2
Suppressor Squad,40mm,75.0,Space_Marines,54.28,54.28
Tactical Squad,32mm,140.0,Space_Marines,46.0,46.0
Bladeguard Veteran Squad,40mm,80.0,Deathwatch,55.2,55.2
Bladeguard Veteran Squad,40mm,170.0,Deathwatch,55.2,55.2
Caestus Assault Ram,120 x 92mm flying base,215.0,Space_Marines,54.28,54.28
Captain,40mm,80.0,Blood_Angels,40.02,40.02
Lieutenant With Combi-weapon,40mm,70.0,Space_Marines,54.28,54.28
Librarian In Terminator Armour,40mm,75.0,Chaos_Space_Marines,38.64,38.64
Captain With Jump Pack,40mm,75.0,Blood_Angels,40.02,40.02
Stormhawk Interceptor,120 x 92mm flying base,155.0,Space_Marines,56.12,56.12
Rhino Primaris,Use model,95.0,Space_Marines,54.28,54.28
Firestrike Servo-turrets,80mm,75.0,Space_Marines,35.88,35.88
Firestrike Servo-turrets,80mm,150.0,Space_Marines,35.88,35.88
Drop Pod,Use model,70.0,Space_Marines,41.4,41.4
Ballistus Dreadnought,90mm,150.0,Space_Marines,67.62,67.62
Sicaran Venator,Use model,220.0,Adeptus_Mechanicus,59.8,59.8
Typhon,Use model,385.0,Tyranids,57.5,57.5
Chaplain On Bike,90 x 52mm,75.0,Orks,55.2,55.2
