ss_code,product_name,price,currency
01-07,ADEPTUS CUSTODES CUSTODIAN GUARD,61.0,USD
01-08,ASTRA TELEPATHICA SISTERS OF SILENCE,50.0,USD
01-10,CAPTAIN-GENERAL TRAJANN VALORIS,39.0,USD
01-11,ADEPTUS CUSTODES CUSTODIAN WARDENS,61.0,USD
01-12,ADEPTUS CUSTODES VERTUS PRAETORS,61.0,USD
01-13,ADEPTUS CUSTODES ALLARUS CUSTODIANS,51.0,USD
01-14-03,CODEX: ADEPTUS CUSTODES (HB) (ABR.) SPA,36.0,USD
01-14-60,CODEX: ADEPTUS CUSTODES (HB) (ENGLISH),41.0,USD
01-15-60,DATACARDS: ADEPTUS CUSTODES (ENG),19.0,USD
102-01,WH40K: KILL TEAM CORE MANUAL (ENGLISH),41.0,USD
102-01,WH40K: KILL TEAM CORE MANUAL (SPANISH),41.0,USD
102-10-03,WARHAMMER 40000: KILL TEAM (SPANISH),162.0,USD
102-10-60,WARHAMMER 40000: KILL TEAM (ENGLISH),162.0,USD
102-44-03,KILL TEAM: COMMANDERS (SPANISH),61.0,USD
102-44-60,KILL TEAM: COMMANDERS (ENGLISH),61.0,USD
102-49-03,KILL TEAM: ELITES (SPANISH),41.0,USD
102-49-60,KILL TEAM: ELITES (ENGLISH),41.0,USD
102-55,KILLZONE: MUNITORUM HUB,101.0,USD
102-56,KILLZONE: SECTOR MECHANICUS,101.0,USD
102-57,KILLZONE: SECTOR FRONTERIS,101.0,USD
102-74,KILL TEAM: PARIAH NEXUS (SPANISH),162.0,USD
102-74,KILL TEAM: PARIAH NEXUS (ENGLISH),162.0,USD
103-73,KILL TEAM: KILLZONES (ENGLISH),41.0,USD
103-73,KILL TEAM: KILLZONES (SPANISH),41.0,USD
35-33,EASY TO BUILD ASTRA MILITARUM CADIANS,11.0,USD
35-34,ETB: CHAOS SPACE MARINES CHAOS CULTISTS,11.0,USD
39-01,CODEX: DEATHWATCH (HB) (ENGLISH),31.0,USD
39-01,CODEX: DEATHWATCH (HB) (SPANISH),31.0,USD
39-02,DATACARDS: DEATHWATCH (ENGLISH),16.0,USD
39-10,DEATHWATCH VETERANS,39.0,USD
39-12,DEATHWATCH: CORVUS BLACKSTAR,81.0,USD
39-14,DEATHWATCH WATCH MASTER,35.0,USD
39-15,DEATHWATCH UPGRADES,15.0,USD
39-17,COMBAT PATROL: DEATHWATCH,141.0,USD
40-02,WARHAMMER 40000: CORE BOOK (ENGLISH),66.0,USD
40-02,WARHAMMER 40000: CORE BOOK (SPANISH),66.0,USD
40-03,WARHAMMER 40000 ELITE EDITION (ENGLISH),100.0,USD
40-03,WARHAMMER 40000 ELITE EDITION (SPANISH),100.0,USD
40-04,WARHAMMER 40000: RECRUIT (SPANISH),51.0,USD
40-04,WARHAMMER 40000: RECRUIT (ENGLISH),51.0,USD
40-05,WARHAMMER 40000 COMMAND EDITION (ENG),167.0,USD
40-05,WARHAMMER 40000 COMMAND EDITION (SPA),167.0,USD
40-06,GETTING STARTED WITH WARHAMMER 40K (ENG),16.0,USD
40-06,GETTING STARTED WITH WARHAMMER 40K (SPA),16.0,USD
40-10,WH40K: CHAPTER APPROVED 2020 (SPANISH),41.0,USD
40-10,WH40K: CHAPTER APPROVED 2020 (ENGLISH),41.0,USD
40-11,40K:TACTICAL DEPLOYMENT MISSION PK (ENG),41.0,USD
40-11,40K:TACTICAL DEPLOYMENT MISSION PK (SPA),41.0,USD
40-12,BEYOND THE VEIL CRUSADE MISSION PACK ENG,41.0,USD
40-12,BEYOND THE VEIL CRUSADE MISSION PACK SPA,41.0,USD
40-14,B/ZONE MANUFACTORUM DATASHEET CARDS ENG,26.0,USD
40-14,B/ZONE MANUFACTORUM DATASHEET CARDS SPA,26.0,USD
40-16,WH40K: CRUSADE JOURNAL (SPANISH),36.0,USD
40-16,WH40K: CRUSADE JOURNAL (ENGLISH),36.0,USD
40-20,WH40K: MISSION PACK: OPEN WAR (ENGLISH),19.0,USD
40-20,WH40K: MISSION PACK: OPEN WAR (SPANISH),19.0,USD
40-30,PSYCHIC AWAKENING: PHOENIX RISING (SPA),41.0,USD
40-30,PSYCHIC AWAKENING: PHOENIX RISING (ENG),41.0,USD
40-31,PSYCHIC AWAKENING: BLOOD OF BAAL (SPA),41.0,USD
40-31,PSYCHIC AWAKENING: BLOOD OF BAAL (ENG),41.0,USD
40-32,PSY AWAKE: RITUAL OF THE DAMNED (SPA),41.0,USD
40-32,PSY AWAKE: RITUAL OF THE DAMNED (ENG),41.0,USD
40-33,PSY/AWAKENING THE GREATER GOOD (HB) SPA,41.0,USD
40-33,PSY/AWAKENING: THE GREATER GOOD (HB) ENG,41.0,USD
40-34,PSYCHIC AWAKENING: ENGINE WAR (SPANISH),41.0,USD
40-34,PSYCHIC AWAKENING: ENGINE WAR (ENG),41.0,USD
40-36,PSYCHIC AWAKENING: WAR OF THE SPIDER SPA,41.0,USD
40-36,PSYCHIC AWAKENING: WAR OF THE SPIDER ENG,41.0,USD
40-47,WARHAMMER 40000: WOUND TRACKERS (6-PACK),13.0,USD
40-48,40K: BATTLEZONE MANUFACTORUM BATTLEFIELD,51.0,USD
40-50,DAEMONIFUGE EPHRAEL STERN & KYGANIL,51.0,USD
40-60,WARHAMMER 40000: INDOMITUS PLAYING CARDS,16.0,USD
41-01,CODEX: BLOOD ANGELS (HB) (ENGLISH),31.0,USD
41-01,CODEX: BLOOD ANGELS (HB/ABR.) (SPANISH),26.0,USD
41-04,DATACARDS: BLOOD ANGELS (ENGLISH),16.0,USD
41-07,BLOOD ANGELS DEATH COMPANY,39.0,USD
41-08,BLOOD ANGELS: SANGUINARY GUARD,49.0,USD
41-10,SPACE MARINES STORMRAVEN GUNSHIP,107.0,USD
41-11,BLOOD ANGELS: FURIOSO DREADNOUGHT,60.0,USD
41-14,BLOOD ANGELS SANGUINARY PRIEST,34.0,USD
41-17,BLOOD ANGELS CHAPLAIN WITH JUMP PACK,36.0,USD
41-22,BLOOD ANGELS: DEATH COMPANY INTERCESSORS,46.0,USD
41-25,COMBAT PATROL: BLOOD ANGELS,141.0,USD
41-30,BLOOD ANGELS PRIMARIS UPGRADES,15.0,USD
41-39,BLOOD ANGELS: MEPHISTON,41.0,USD
41-80,BLOOD ANGELS: UPGRADES,16.0,USD
43-01-03,CODEX: CHAOS SPACE MARINES 2 (ABR.) SPA,36.0,USD
43-01-60,CODEX: CHAOS SPACE MARINES 2 (ENGLISH),41.0,USD
