mini,faction,material,edition,year
Baharroth Wings,Craftworlds,Metal,Warhammer 40K: Rogue Trader,1990
Warp Spiders,Craftworlds,Finecast,Warhammer 40K: 2nd Edition,1994
Avatar of Khaine,Craftworlds,Finecast,Warhammer 40K: 2nd Edition,1994
Asurmen,Craftworlds,Finecast,Warhammer 40K: 2nd Edition,1994
Karandras,Craftworlds,Finecast,Warhammer 40K: 2nd Edition,1994
Fuegan,Craftworlds,Metal,Warhammer 40K: 2nd Edition,1994
Baharroth,Craftworlds,Metal,Warhammer 40K: 2nd Edition,1994
Maugan Ra,Craftworlds,Finecast,Warhammer 40K: 2nd Edition,1994
Warp Spider Exarch,Craftworlds,Finecast,Warhammer 40K: 2nd Edition,1994
Warlock with Witchblade,Craftworlds,Finecast,Warhammer 40K: 2nd Edition,1994
Warlock with Spear,Craftworlds,Finecast,Warhammer 40K: 2nd Edition,1994
Shining Spears and Autarch Skyrunner,Craftworlds,Plastic,Warhammer 40K: 2nd Edition,1994
Vyper,Craftworlds,Plastic,Warhammer 40K: 2nd Edition,1997
Falcon,Craftworlds,Plastic,Warhammer 40K: 2nd Edition,1997
Warlock with Witchblade,Craftworlds,Metal,Warhammer 40K: 3rd Edition,1999
Guardian Squad,Craftworlds,Plastic,Warhammer 40K: 3rd Edition,1999
Shining Spears,Craftworlds,Finecast,Warhammer 40K: 3rd Edition,1999
Shining Spears Exarch,Craftworlds,Finecast,Warhammer 40K: 3rd Edition,1999
Swooping Hawks,Craftworlds,Finecast,Warhammer 40K: 3rd Edition,2000
Warlock with Witchblade 2,Craftworlds,Finecast,Warhammer 40K: 3rd Edition,2003
Storm Guardians,Craftworlds,Finecast,Warhammer 40K: 3rd Edition,2003
Wave Serpent,Craftworlds,Plastic,Warhammer 40K: 4th Edition,2005
Rangers,Craftworlds,Finecast,Warhammer 40K: 4th Edition,2006
Guardian Heavy Weapon Platform,Craftworlds,Plastic,Warhammer 40K: 4th Edition,2006
Farseer (and the Farseer and Warlocks box),Craftworlds,Finecast,Warhammer 40K: 4th Edition,2006
Prince Yriel,Craftworlds,Finecast,Warhammer 40K: 4th Edition,2006
Striking Scorpions,Craftworlds,Finecast,Warhammer 40K: 4th Edition,2006
Dire Avengers,Craftworlds,Plastic,Warhammer 40K: 4th Edition,2006
Dark Reapers,Craftworlds,Finecast,Warhammer 40K: 4th Edition,2006
War Walker,Craftworlds,Plastic,Warhammer 40K: 4th Edition,2006
Vehicle Heavy Weapon Sprue,Craftworlds,Plastic,Warhammer 40K: 4th Edition,2006
Fire Dragons,Craftworlds,Finecast,Warhammer 40K: 4th Edition,2006
Wraithlord,Craftworlds,Plastic,Warhammer 40K: 4th Edition,2006
Autarch Skyrunner,Craftworlds,Finecast,Warhammer 40K: 4th Edition,2007
Support Weapon,Craftworlds,Plastic,Warhammer 40K: 5th Edition,2010
Fire Prism,Craftworlds,Plastic,Warhammer 40K: 5th Edition,2010
Night Spinner,Craftworlds,Plastic,Warhammer 40K: 5th Edition,2010
Wraithknight,Craftworlds,Plastic,Warhammer 40K: 6th Edition,2013
Wraithguard,Craftworlds,Plastic,Warhammer 40K: 6th Edition,2013
Wraithblades,Craftworlds,Plastic,Warhammer 40K: 6th Edition,2013
Illic Nightspear,Craftworlds,Finecast,Warhammer 40K: 6th Edition,2013
Farseer,Craftworlds,Plastic,Warhammer 40K: 6th Edition,2013
Hemlock Wraithfighter,Craftworlds,Plastic,Warhammer 40K: 6th Edition,2013
Crimson Hunter,Craftworlds,Plastic,Warhammer 40K: 6th Edition,2013
Autarch,Craftworlds,Plastic,Warhammer 40K: 7th Edition,2015
Farseer Skyrunner,Craftworlds,Plastic,Warhammer 40K: 7th Edition,2015
Warlock Skyrunner,Craftworlds,Plastic,Warhammer 40K: 7th Edition,2015
Windriders,Craftworlds,Plastic,Warhammer 40K: 7th Edition,2015
Eldrad Ulthran,Craftworlds,Plastic,Warhammer 40K: 7th Edition,2016
Spiritseer,Craftworlds,Plastic,Warhammer 40K: 8th Edition,2018
Jain Zar,Craftworlds,Plastic,Warhammer 40K: 8th Edition,2019
Howling Banshees,Craftworlds,Plastic,Warhammer 40K: 8th Edition,2019
Shroud Runners,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Rangers,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Autarch,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Maugan Ra,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Dark Reapers,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Warlocks,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Guardians,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Storm Guardians,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
Avatar of Khaine,Craftworlds,Plastic,Warhammer 40K: 9th Edition,2022
