price,mini,faction
70.84,Custodian Dreadnought,Adeptus_Custodes
67.62,Sentinel Guard Sodality,Adeptus_Custodes
40.02,Shield Captain,Adeptus_Custodes
75.44,Venatari Sodality,Adeptus_Custodes
67.62,Custodian Guard Sodality,Adeptus_Custodes
92.0,Caladius Annihilator Grav-tank,Adeptus_Custodes
92.0,Caladius Grav-tank,Adeptus_Custodes
116.84,Coronus Grav-carrier,Adeptus_Custodes
55.2,Hastarii,Adeptus_Mechanicus
59.8,Thulia Ghuld,Adeptus_Mechanicus
63.48,Mutilators,Chaos_Space_Marines
32.2,Iron Warriors Upgrades,
156.4,Knight Destrier,Imperial_Knights
156.4,Eye of Terror Battalion,Adeptus_Mechanicus
193.2,Eye of Terror Battalion,Imperial_Knights
40.02,Tyranid Prime with Lash Whip,Tyranids
59.8,Vyper/Starfang,Craftworlds
59.8,Corsair Voidreavers,
55.2,Corsair Skyreavers,
40.02,Kharseth,
43.24,Prince Yriel,
32.2,Red Corsairs Upgrades and Transfers,
59.8,Red Corsairs Raiders,
156.4,Combat Patrol,Drukhari
156.4,Combat Patrol  Leagues of Votann,Leagues of Votann
156.4,Combat Patrol  Tyranid Assault Brood,Tyranids
156.4,Combat Patrol  Black Templars,Supplement_Marines
156.4,Combat Patrol,Grey_Knights
156.4,Combat Patrol,Thousand_Sons
156.4,Combat Patrol  Emperor's Children,Chaos_Space_Marines
156.4,Combat Patrol  World Eaters,Chaos_Space_Marines
156.4,Combat Patrol  Aeldari,Craftworlds
156.4,Combat Patrol,Astra_Militarum
156.4,Combat Patrol,Blood_Angels
156.4,Combat Patrol  Imperial Agents,Deathwatch
156.4,Combat Patrol s,Genestealer_Cult
156.4,Combat Patrol,Adepta_Sororitas
156.4,Combat Patrol  T’au Empire,Tau_Empire
156.4,Combat Patrol,Adeptus_Custodes
156.4,Combat Patrol,Orks
156.4,Combat Patrol,Dark_Angels
156.4,Combat Patrol,Adeptus_Mechanicus
156.4,Combat Patrol,Necrons
44.16,Wyches,
63.48,Manticore,
29.44,Support Weapon,
73.6,Baal Predator,Space_Marines
63.48,Basilisk,Astra_Militarum
59.8,Chimera,Astra_Militarum
59.8,Killa Kans,
59.8,Hellhound,
44.16,Barbgaunts,
38.64,Librarian in Terminator Armour,Chaos_Space_Marines
63.48,Commander Farsight,Tau_Empire
40.02,Boss Snikrot,
67.62,Lion El'Jonson,
44.16,Commander Dante,Tau_Empire
44.16,"Azrael, Supreme Grand Master",
40.02,Khârn the Betrayer,
32.2,Cadian Upgrades,Astra_Militarum
35.88,Cadian Castellan,Grey_Knights
59.8,Attilan Rough Riders,
63.48,Lord on Juggernaut,Necrons
59.8,Eightbound,
55.2,Jakhals,
63.48,Lord Invocatus,Necrons
59.8,Exalted Eightbound,Chaos_Daemons
63.48,Khorne Berzerkers,Chaos_Daemons
161.0,Angron – Daemon Primarch of Khorne,Chaos_Daemons
81.88,Daemon Prince,Chaos_Daemons
44.16,Armoured Sentinel,
181.24,Stormsword,
181.24,Stormlord,
181.24,Shadowsword,
181.24,Hellhammer,
181.24,Doomhammer,
181.24,Banesword,
181.24,Banehammer,
64.4,Leman Russ Battle Tank,Astra_Militarum
78.2,Aegis Defence Line,
181.24,Baneblade,Astra_Militarum
55.2,Field Ordnance Battery,
44.16,Scout Sentinel,Space_Marines
44.16,Cadian Command Squad,Astra_Militarum
48.76,Cadian Shock Troops,Astra_Militarum
96.6,Rogal Dorn Battle Tank,Supplement_Marines
44.16,Lord Castellan Ursula Creed,Necrons
32.2,Primaris Psyker,Space_Marines
207.0,"Warhammer 40,000 Boarding Actions Terrain Set",
32.2,Technoarcheologist,
40.02,Kâhl,
40.02,Einhyr Champion,Chaos_Space_Marines
40.02,Ûthar the Destined,
55.2,Brôkhyr Iron-master,
63.48,Hernkyn Pioneers,
55.2,Hearthkyn Warriors,
112.24,Hekaton Land Fortress,
55.2,Brôkhyr Thunderkyn,
44.16,Grimnyr,
63.48,Sagitaur,
57.5,Cthonian Beserks,
57.5,Einhyr Hearthguard,
32.2,Tormentbringer / Bladebringer,
32.2,Hellflayer,
59.8,Hive Tyrant,Tyranids
55.2,Dark Commune,
59.8,Possessed,Chaos_Space_Marines
59.8,Contemptor Dreadnought,Adeptus_Custodes
92.0,War Dog Huntsmen,
92.0,War Dog Executioners,
92.0,War Dog Stalkers,
92.0,War Dog Brigands,
92.0,War Dog Karnivores,
35.88,Reductus Saboteur,
40.02,Blade Champion,Chaos_Space_Marines
92.0,Armiger Warglaives,Imperial_Knights
179.4,Knight Tyrant,Imperial_Knights
179.4,Knight Castellan,Grey_Knights
179.4,Knight Valiant,Adeptus_Custodes
92.0,Armiger Helverins,Imperial_Knights
40.02,Parasite of Mortrex,
73.6,Predator Annihilator,Space_Marines
40.02,Autarch,
67.62,Shroud Runners,Chaos_Knights
57.5,Rangers,
104.88,Avatar of Khaine,Craftworlds
63.48,Shining Spears,
44.16,Castellan Crowe,Grey_Knights
40.02,Infernal Master,
55.2,Storm Guardians,
55.2,The Yncarne,Ynnari
44.16,Maugan Ra,
57.5,Dark Reapers,
55.2,Guardian Defenders,Craftworlds
55.2,Warlocks,
32.2,The Visarch,Ynnari
40.02,Yvraine,Ynnari
40.02,Captain in Gravis Armour,
40.02,Ancient,
35.88,Darkstrider,
32.2,Ethereal,Tau_Empire
63.48,Deffkoptas,
55.2,Boyz,Orks
40.02,Warboss in Mega Armour,Orks
35.88,Black Templars Marshal,Supplement_Marines
35.88,Black Templars Castellan,Supplement_Marines
40.02,Emperor's Champion,Chaos_Space_Marines
55.2,Chaplain Grimaldus & Retinue,
55.2,High Marshal Helbrecht,
59.8,Black Templars Sword Brethren,Supplement_Marines
40.02,Painboss,
119.6,Gunwagon,
119.6,Bonebreaka,
119.6,Battlewagon,
78.2,Big'ed Bossbunka,
40.02,Beastboss,
44.16,Zodgrod Wortsnagga,
55.2,Ork Beast Snagga Boyz,Orks
40.02,"Aestred Thurga, Reliquant at Arms",
84.64,Castigator,
75.44,Gaunt's Ghosts,Tyranids
59.8,"Morvenn Vahl, Abbess Sanctorum of the",Adepta_Sororitas
75.44,Paragon Warsuits,Adepta_Sororitas
59.8,Celestian Sacresants,Adepta_Sororitas
44.16,Lord of Contagion and Blightlord Terminators,Necrons
35.88,Sister Dogmata,Adepta_Sororitas
35.88,Palatine,Adepta_Sororitas
59.8,Heavy Intercessor Squad,Space_Marines
40.02,Chronomancer,
40.02,Captain in Gravis Armour with Master-crafted Heavy Bolt Rifle,
63.48,Purifier Squad,Grey_Knights
63.48,Purgation Squad,Grey_Knights
63.48,Interceptor Squad,Grey_Knights
44.16,Lelith Hesperax,Drukhari
156.4,"Be'lakor, the Dark Master",
40.02,Daemonettes of Slaanesh,
69.0,Mechanicum Knight Moirax with Volkite Veuglaire and Gyges Siege Claw,Imperial_Knights
119.6,Royal Court,Necrons
156.4,Space Marines  Honoured of the Chapter,Space_Marines
32.2,Icon Bearer,
32.2,Plague Marine Champion,Chaos_Space_Marines
59.8,Ravenwing Black Knights,Dark_Angels
43.24,Master Lazarus,
75.44,Storm Speeder Thunderstrike,
75.44,Storm Speeder Hammerstrike,
35.88,Psychomancer,
55.2,Primaris Eradicators,Space_Marines
55.2,Bladeguard Veteran Squad,Deathwatch
75.44,Storm Speeder Hailstrike,
55.2,Plague Marines,Death_Guard
29.44,Myphitic Blight-hauler,Tyranids
44.16,"Typhus, Herald of the Plague God",Death_Guard
32.2,Tallyman,Chaos_Daemons
73.6,Plagueburst Crawler,
32.2,Plague Surgeon,Death_Guard
32.2,Foul Blightspawn,
55.2,Foetid Bloat-drone,Death_Guard
59.8,Deathshroud Terminators,
161.0,"Mortarion, Daemon Primarch of Nurgle",Chaos_Daemons
59.8,Blightlord Terminators,
32.2,Biologus Putrifier,
63.48,Miasmic Malignifier,
40.02,Lord of Virulence,Necrons
67.62,"Malignant Plaguecaster, Noxious Blightbringer, and Plague Marine Champion",Chaos_Space_Marines
88.32,Gladiator Lancer,Space_Marines
88.32,Gladiator Reaper,Space_Marines
35.88,Chaplain With Jump Pack,Blood_Angels
44.16,Mephiston,
59.8,Assault Intercessor Squad,Space_Marines
35.88,Ulrik the Slayer,
35.88,Iron Priest,Space_Wolves
40.02,Fenrisian Wolves,
59.8,Murderfang,
35.88,Watch Master,Deathwatch
15.87,Upgrades,Deathwatch
59.8,Bjorn the Fell-handed,
59.8,Thunderwolf Cavalry,Space_Wolves
59.8,Wulfen,Space_Wolves
88.32,Corvus Blackstar,
75.44,Ghazghkull Thraka,Orks
59.8,Outriders,
88.32,Gladiator Valiant,Space_Marines
44.16,Ragnar Blackmane,
63.48,Convergence of Dominion,Adepta_Sororitas
178.48,Monolith,Necrons
63.48,Hammerfall Bunker,
40.02,Techmarine,
43.24,Iron Father Feirros,
43.24,Adrax Agatone,
55.2,Tactical Squad,Space_Marines
55.2,Eliminators,
73.6,Predator Destructor,Space_Marines
43.24,Tor Garadon,
48.76,Necron Warriors,Necrons
59.8,Skorpekh Destroyers,
35.88,Hexmark Destroyer,Necrons
165.6,Warlord Titan Mori Quake Cannon,Imperial_Knights
161.0,"Szarekh, The Silent King",
48.76,Canoptek Doomstalker,Necrons
35.88,Lokhust Heavy Destroyer,Necrons
35.88,Firestrike Servo-turret,
48.76,Primaris Invader ATV,Space_Marines
88.32,Primaris Repulsor,Space_Marines
59.8,Reiver Squad,Space_Marines
44.16,Chief Librarian Tigurius,
75.44,Primaris Redemptor Dreadnought,Space_Marines
55.2,Inceptor Squad,Space_Marines
43.24,Kor'sarro Khan,
55.2,Rhino,Space_Marines
55.2,Razorback,
38.64,Chaplain,
55.2,Aggressor Squad,Space_Marines
29.44,Salamanders Primaris Upgrades and Transfers,Space_Marines
38.64,Primaris Librarian,Space_Marines
67.62,Roboute Guilliman,
35.88,Lieutenant in Reiver Armour,Space_Marines
59.8,Canoptek Wraiths,Necrons
81.88,Primaris Impulsor,Space_Marines
59.8,Venerable Dreadnought,Grey_Knights
73.6,Centurion Devastator Squad,Space_Marines
73.6,Centurion Assault Squad,Space_Marines
29.44,White Scars Primaris Upgrades & Transfers,Space_Marines
63.48,Stormtalon Gunship,Tau_Empire
116.84,Stormraven Gunship,Tau_Empire
63.48,Stormhawk Interceptor,
59.8,Infiltrator Squad,
59.8,Incursor Squad,
55.2,Vanguard Veteran Squad,Space_Marines
29.44,Raven Guard Primaris Upgrades and Transfers,Space_Marines
35.88,Primaris Librarian in Phobos Armour,Space_Marines
40.02,Captain in Phobos Armour,
55.2,Tomb Blades,
44.16,Immortals,
70.84,Night Scythe,Necrons
44.16,Deathmarks,
55.2,Necron Catacomb Command Barge,Necrons
55.2,Annihilation Barge,
105.8,Land Raider Redeemer,Drukhari
105.8,Land Raider Crusader,Drukhari
